index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
144,tennessee,Knoxville High School,knoxville-high-school,Knoxville High School,No,4,1912-1913,1920-1921,RESOLVED,Historical/non-current source identity,,
145,tennessee,Knoxville YMCA,knoxville-ymca,Knoxville YMCA,No,16,1909-1910,1928-1929,RESOLVED,Historical/non-current source identity,,
146,tennessee,La.-Lafayette,louisiana,Louisiana,Yes,3,1999-2000,2007-2008,RESOLVED,Current D1 registry / Tennessee alias normalization,,
147,tennessee,Lafayette,lafayette,Lafayette,Yes,2,1980-1981,1984-1985,RESOLVED,Current D1 registry / Tennessee alias normalization,,
148,tennessee,Lambuth,lambuth,Lambuth,No,1,1935-1936,1935-1936,RESOLVED,Historical/non-current source identity,,
149,tennessee,LaSalle,la-salle,La Salle,Yes,2,1969-1970,1976-1977,RESOLVED,Current D1 registry / Tennessee alias normalization,,
150,tennessee,Lenoir-Rhyne,lenoir-rhyne,Lenoir-Rhyne,No,1,2018-2019,2018-2019,RESOLVED,Historical/non-current source identity,,
151,tennessee,Lincoln Memorial,lincoln-memorial,Lincoln Memorial,No,16,1924-1925,1951-1952,RESOLVED,Historical/non-current source identity,,
152,tennessee,Lipscomb,lipscomb,Lipscomb,Yes,4,1954-1955,2017-2018,RESOLVED,Current D1 registry / Tennessee alias normalization,,
153,tennessee,Long Beach State,long-beach-state,Long Beach State,Yes,1,2006-2007,2006-2007,RESOLVED,Inherited established project identity,,
154,tennessee,Long Island,long-island-university,Long Island University,Yes,5,1936-1937,1999-2000,RESOLVED,Inherited established project identity,,
155,tennessee,Longwood,longwood,Longwood,Yes,1,2021-2022,2021-2022,RESOLVED,Inherited established project identity,,
156,tennessee,Louisiana,louisiana,Louisiana,Yes,3,2008-2009,2022-2023,RESOLVED,Inherited established project identity,,
157,tennessee,Louisiana Tech,louisiana-tech,Louisiana Tech,Yes,4,1957-1958,1986-1987,RESOLVED,Inherited established project identity,,
158,tennessee,Louisiana-Lafayette,louisiana,Louisiana,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / Tennessee alias normalization,,
159,tennessee,Louisiana-Monroe,ul-monroe,UL Monroe,Yes,1,2011-2012,2011-2012,RESOLVED,Inherited established project identity,,
160,tennessee,Louisville,louisville,Louisville,Yes,22,1912-1913,2025-2026,RESOLVED,Inherited established project identity,,
161,tennessee,Louisville YMCA,louisville-ymca,Louisville YMCA,No,1,1913-1914,1913-1914,RESOLVED,Historical/non-current source identity,,
162,tennessee,Loyola (South),loyola-new-orleans,Loyola (New Orleans),No,3,1948-1949,1950-1951,RESOLVED,Historical/non-current source identity,,
163,tennessee,Loyola Chicago,loyola-chicago,Loyola Chicago,Yes,1,2017-2018,2017-2018,RESOLVED,Inherited established project identity,,
164,tennessee,LSU,lsu,LSU,Yes,118,1932-1933,2025-2026,RESOLVED,Inherited established project identity,,
165,tennessee,LSU%,lsu,LSU,Yes,1,1947-1948,1947-1948,RESOLVED,Inherited established project identity,,
166,tennessee,LSU^,lsu,LSU,Yes,1,1957-1958,1957-1958,RESOLVED,Inherited established project identity,,
167,tennessee,Lynchburg Elks Lodge,lynchburg-elks-lodge,Lynchburg Elks Lodge,No,1,1921-1922,1921-1922,RESOLVED,Historical/non-current source identity,,
168,tennessee,Macon YMCA,macon-ymca,Macon YMCA,No,1,1920-1921,1920-1921,RESOLVED,Inherited established project identity,,
169,tennessee,Manhattan,manhattan,Manhattan,Yes,1,1971-1972,1971-1972,RESOLVED,Inherited established project identity,,
170,tennessee,Marquette,marquette,Marquette,Yes,8,1972-1973,2014-2015,RESOLVED,Inherited established project identity,,
171,tennessee,Marshall,marshall,Marshall,Yes,10,1936-1937,2015-2016,RESOLVED,Inherited established project identity,,
172,tennessee,Maryland,maryland,Maryland,Yes,5,1949-1950,2022-2023,RESOLVED,Inherited established project identity,,
173,tennessee,Maryville,maryville-tn,Maryville (Tenn.),No,37,1909-1910,1930-1931,RESOLVED,Historical/non-current source identity,,
174,tennessee,Massachusetts,massachusetts,Massachusetts,Yes,1,2002-2003,2002-2003,RESOLVED,Inherited established project identity,,
175,tennessee,McNeese,mcneese,McNeese,Yes,1,2022-2023,2022-2023,RESOLVED,Inherited established project identity,,
176,tennessee,Memphis,memphis,Memphis,Yes,19,1994-1995,2019-2020,RESOLVED,Inherited established project identity,,
177,tennessee,Memphis St.,memphis-st,Memphis St.,No,1,1989-1990,1989-1990,RESOLVED,Historical/non-current source identity,,
178,tennessee,Memphis State,memphis,Memphis,Yes,7,1969-1970,1993-1994,RESOLVED,Inherited established project identity,,
179,tennessee,Mercer,mercer,Mercer,Yes,9,1912-1913,2025-2026,RESOLVED,Inherited established project identity,,
180,tennessee,Mexico,of-mexico,University of Mexico,No,1,1932-1933,1932-1933,RESOLVED,Historical/non-current source identity,,
181,tennessee,Miami,miami,Miami (FL),Yes,5,1954-1955,2024-2025,RESOLVED,Inherited established project identity,Miami (FL),Owner-approved project convention: University of Miami uses key miami and display Miami (FL).
182,tennessee,Miami (OH),miami-oh,Miami (OH),Yes,1,2025-2026,2025-2026,RESOLVED,Inherited established project identity,Miami (OH),Owner-approved project convention for Miami University.
183,tennessee,Miami (Ohio),miami-oh,Miami (OH),Yes,6,1947-1948,1999-2000,RESOLVED,Inherited established project identity,Miami (OH),Owner-approved project convention for Miami University.
184,tennessee,Michigan,michigan,Michigan,Yes,13,1958-1959,2025-2026,RESOLVED,Inherited established project identity,,
185,tennessee,Michigan State,michigan-state,Michigan State,Yes,7,1938-1939,2009-2010,RESOLVED,Inherited established project identity,,
186,tennessee,Middle Tenn.,middle-tennessee,Middle Tennessee,Yes,3,2007-2008,2009-2010,RESOLVED,Current D1 registry / Tennessee alias normalization,,
187,tennessee,Middle Tenn. St.,middle-tennessee,Middle Tennessee,Yes,5,1987-1988,2001-2002,RESOLVED,Current D1 registry / Tennessee alias normalization,,
188,tennessee,Middle Tennessee,middle-tennessee,Middle Tennessee,Yes,3,2006-2007,2024-2025,RESOLVED,Current D1 registry / Tennessee alias normalization,,
189,tennessee,Middle Tennessee^,middle-tennessee,Middle Tennessee,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / Tennessee alias normalization,,
190,tennessee,Milligan,milligan,Milligan,No,12,1921-1922,1947-1948,RESOLVED,Historical/non-current source identity,,
191,tennessee,Millsaps,millsaps,Millsaps,No,1,1920-1921,1920-1921,RESOLVED,Historical/non-current source identity,,
192,tennessee,Minnesota,minnesota,Minnesota,Yes,1,1979-1980,1979-1980,RESOLVED,Inherited established project identity,,
193,tennessee,Mississippi,ole-miss,Ole Miss,Yes,1,1997-1998,1997-1998,RESOLVED,Inherited established project identity,,
194,tennessee,Mississippi College,mississippi-college,Mississippi College,No,1,1921-1922,1921-1922,RESOLVED,Historical/non-current source identity,,
195,tennessee,Mississippi St.,mississippi-state,Mississippi State,Yes,58,1949-1950,2023-2024,RESOLVED,Current D1 registry / Tennessee alias normalization,,
196,tennessee,Mississippi State,mississippi-state,Mississippi State,Yes,80,1923-1924,2025-2026,RESOLVED,Current D1 registry / Tennessee alias normalization,,
197,tennessee,Missouri,missouri,Missouri,Yes,24,1961-1962,2025-2026,RESOLVED,Inherited established project identity,,
198,tennessee,Missouri State^,missouri-state,Missouri State,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
199,tennessee,Montana,montana,Montana,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / Tennessee alias normalization,,
200,tennessee,Montana State,montana-state,Montana State,Yes,2,1969-1970,1983-1984,RESOLVED,Inherited established project identity,,
201,tennessee,Mooney School,mooney-school,Mooney School,No,3,1909-1910,1910-1911,RESOLVED,Historical/non-current source identity,,
202,tennessee,Morehead State,morehead-state,Morehead State,Yes,4,1983-1984,2013-2014,RESOLVED,Inherited established project identity,,
203,tennessee,Murphy College,murphy-college,Murphy College,No,2,1915-1916,1915-1916,RESOLVED,Historical/non-current source identity,,
204,tennessee,Murray State,murray-state,Murray State,Yes,4,1944-1945,2019-2020,RESOLVED,Current D1 registry / Tennessee alias normalization,,
205,tennessee,N.C. State,nc-state,NC State,Yes,7,1961-1962,1993-1994,RESOLVED,Current D1 registry / Tennessee alias normalization,,
206,tennessee,Navy,navy,Navy,Yes,2,1974-1975,1983-1984,RESOLVED,Inherited established project identity,,
207,tennessee,NC State,nc-state,NC State,Yes,4,2013-2014,2023-2024,RESOLVED,Current D1 registry / Tennessee alias normalization,,
208,tennessee,Nebraska,nebraska,Nebraska,Yes,3,2003-2004,2015-2016,RESOLVED,Current D1 registry / Tennessee alias normalization,,
209,tennessee,New Albany YMCA,new-albany-ymca,New Albany YMCA,No,1,1912-1913,1912-1913,RESOLVED,Historical/non-current source identity,,
210,tennessee,New Mexico,new-mexico,New Mexico,Yes,4,1989-1990,2004-2005,RESOLVED,Current D1 registry / Tennessee alias normalization,,
211,tennessee,New Mexico A&M,new-mexico-state,New Mexico State,Yes,1,1955-1956,1955-1956,RESOLVED,Current D1 registry / Tennessee alias normalization,,
212,tennessee,New Orleans,new-orleans,New Orleans,Yes,1,1982-1983,1982-1983,RESOLVED,Inherited established project identity,,
213,tennessee,New York University,new-york-university,New York University,No,1,1944-1945,1944-1945,RESOLVED,Historical/non-current source identity,,
214,tennessee,Newport YMCA,newport-ymca,Newport YMCA,No,1,1909-1910,1909-1910,RESOLVED,Historical/non-current source identity,,
215,tennessee,Niagara,niagara,Niagara,Yes,3,1969-1970,1978-1979,RESOLVED,Current D1 registry / Tennessee alias normalization,,
216,tennessee,Norfolk State,norfolk-state,Norfolk State,Yes,2,2023-2024,2024-2025,RESOLVED,Inherited established project identity,,
217,tennessee,North Carolina,north-carolina,North Carolina,Yes,13,1910-1911,2023-2024,RESOLVED,Inherited established project identity,,
218,tennessee,North Carolina A&T,north-carolina-a-t,North Carolina A&T,Yes,2,2007-2008,2009-2010,RESOLVED,Inherited established project identity,,
219,tennessee,North Carolina State,nc-state,NC State,Yes,1,1928-1929,1928-1929,RESOLVED,Current D1 registry / Tennessee alias normalization,,
220,tennessee,North Florida,north-florida,North Florida,Yes,1,2025-2026,2025-2026,RESOLVED,Inherited established project identity,,
221,tennessee,North Texas State,north-texas,North Texas,Yes,1,1973-1974,1973-1974,RESOLVED,Current D1 registry / Tennessee alias normalization,,
222,tennessee,Northern Kentucky,northern-kentucky,Northern Kentucky,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / Tennessee alias normalization,,
223,tennessee,Northern Michigan,northern-michigan,Northern Michigan,No,1,1970-1971,1970-1971,RESOLVED,Historical/non-current source identity,,
224,tennessee,Northwestern,northwestern,Northwestern,Yes,1,1977-1978,1977-1978,RESOLVED,Inherited established project identity,,
225,tennessee,Notre Dame,notre-dame,Notre Dame,Yes,1,1978-1979,1978-1979,RESOLVED,Current D1 registry / Tennessee alias normalization,,
226,tennessee,Oakland,oakland,Oakland,Yes,2,2011-2012,2012-2013,RESOLVED,Current D1 registry / Tennessee alias normalization,,
227,tennessee,Oakland^,oakland,Oakland,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / Tennessee alias normalization,,
228,tennessee,Ohio,ohio,Ohio,Yes,2,1925-1926,2009-2010,RESOLVED,Inherited established project identity,,
229,tennessee,Ohio Northern,ohio-northern,Ohio Northern,No,1,1983-1984,1983-1984,RESOLVED,Historical/non-current source identity,,
230,tennessee,Ohio State,ohio-state,Ohio State,Yes,6,1978-1979,2009-2010,RESOLVED,Inherited established project identity,,
231,tennessee,Ohio University,ohio,Ohio,Yes,3,1944-1945,1987-1988,RESOLVED,Current D1 registry / Tennessee alias normalization,,
232,tennessee,Oklahoma,oklahoma,Oklahoma,Yes,3,1968-1969,2025-2026,RESOLVED,Inherited established project identity,,
233,tennessee,Oklahoma City,oklahoma-city,Oklahoma City,No,1,1982-1983,1982-1983,RESOLVED,Historical/non-current source identity,,
234,tennessee,Oklahoma St.,oklahoma-state,Oklahoma State,Yes,1,2006-2007,2006-2007,RESOLVED,Current D1 registry / Tennessee alias normalization,,
235,tennessee,Oklahoma State,oklahoma-state,Oklahoma State,Yes,3,2005-2006,2012-2013,RESOLVED,Current D1 registry / Tennessee alias normalization,,
236,tennessee,Ole Miss,ole-miss,Ole Miss,Yes,125,1923-1924,2025-2026,RESOLVED,Inherited established project identity,,
237,tennessee,Oregon,oregon,Oregon,Yes,2,1964-1965,2016-2017,RESOLVED,Inherited established project identity,,
238,tennessee,Oregon State,oregon-state,Oregon State,Yes,5,1964-1965,2020-2021,RESOLVED,Inherited established project identity,,
239,tennessee,Penn State,penn-state,Penn State,Yes,3,1971-1972,1996-1997,RESOLVED,Inherited established project identity,,
240,tennessee,Pennsylvania,pennsylvania,Pennsylvania,Yes,1,1975-1976,1975-1976,RESOLVED,Inherited established project identity,,
241,tennessee,Pepperdine,pepperdine,Pepperdine,Yes,1,1987-1988,1987-1988,RESOLVED,Current D1 registry / Tennessee alias normalization,,
242,tennessee,Pittsburgh,pittsburgh,Pittsburgh,Yes,4,1961-1962,1999-2000,RESOLVED,Inherited established project identity,,
243,tennessee,Pittsburgh^,pittsburgh,Pittsburgh,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
244,tennessee,Portland,portland,Portland,Yes,2,1964-1965,1981-1982,RESOLVED,Current D1 registry / Tennessee alias normalization,,
245,tennessee,Prairie View A&M,prairie-view-a-m,Prairie View A&M,Yes,1,2007-2008,2007-2008,RESOLVED,Inherited established project identity,,
246,tennessee,Presbyterian,presbyterian,Presbyterian,Yes,4,2012-2013,2021-2022,RESOLVED,Inherited established project identity,,
247,tennessee,Princeton,princeton,Princeton,Yes,1,1959-1960,1959-1960,RESOLVED,Current D1 registry / Tennessee alias normalization,,
248,tennessee,Providence,providence,Providence,Yes,2,1970-1971,1973-1974,RESOLVED,Inherited established project identity,,
249,tennessee,Purdue,purdue,Purdue,Yes,7,1980-1981,2023-2024,RESOLVED,Inherited established project identity,,
250,tennessee,Radford,radford,Radford,Yes,3,1992-1993,2001-2002,RESOLVED,Inherited established project identity,,
251,tennessee,Rhode Island,rhode-island,Rhode Island,Yes,1,1944-1945,1944-1945,RESOLVED,Inherited established project identity,,
252,tennessee,Rice,rice,Rice,Yes,5,1951-1952,2025-2026,RESOLVED,Current D1 registry / Tennessee alias normalization,,
