index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
88,south-carolina,Detroit-Mercy,detroit-mercy,Detroit-Mercy,Yes,1,2005-2006,2005-2006,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
89,south-carolina,Drake,drake,Drake,Yes,1,1974-1975,1974-1975,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
90,south-carolina,Drexel,drexel,Drexel,Yes,1,2015-2016,2015-2016,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
91,south-carolina,Duke,duke,Duke,Yes,72,1925-1926,2016-2017,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
92,south-carolina,Duquesne,duquesne,Duquesne,Yes,5,1950-1951,1977-1978,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
93,south-carolina,East Carolina,east-carolina,East Carolina,Yes,14,1968-1969,2024-2025,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
94,south-carolina,East Tennessee State,east-tennessee-state,East Tennessee State,Yes,8,1978-1979,2002-2003,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
95,south-carolina,Eastern Kentucky,eastern-kentucky,Eastern Kentucky,Yes,1,1973-1974,1973-1974,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
96,south-carolina,Eastern Michigan,eastern-michigan,Eastern Michigan,Yes,1,2022-2023,2022-2023,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
97,south-carolina,Eckerd,eckerd,Eckerd,No,1,1986-1987,1986-1987,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
98,south-carolina,Elon,elon,Elon,Yes,5,1966-1967,2023-2024,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
99,south-carolina,Erskine,erskine,Erskine,No,27,1931-1932,1969-1970,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
100,south-carolina,Fairfield,fairfield,Fairfield,Yes,3,1971-1972,1977-1978,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
101,south-carolina,FIU,florida-international,FIU,Yes,3,2013-2014,2017-2018,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
102,south-carolina,Florence All-Stars,florence-all-stars,Florence All-Stars,No,1,1947-1948,1947-1948,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
103,south-carolina,Florida,florida,Florida,Yes,81,1925-1926,2025-2026,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
104,south-carolina,Florida A&M,florida-a-m,Florida A&M,Yes,2,2020-2021,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
105,south-carolina,Florida International,florida-international,FIU,Yes,1,1984-1985,1984-1985,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
106,south-carolina,Florida Southern,florida-southern,Florida Southern,No,4,1964-1965,1979-1980,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
107,south-carolina,Florida State,florida-state,Florida State,Yes,31,1959-1960,2021-2022,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
108,south-carolina,Florida Tech,florida-tech,Florida Tech,No,1,1992-1993,1992-1993,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
109,south-carolina,Fordham,fordham,Fordham,Yes,7,1970-1971,1976-1977,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
110,south-carolina,Fort Benning,fort-benning,Fort Benning,No,1,1945-1946,1945-1946,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
111,south-carolina,Fort Jackson,fort-jackson,Fort Jackson,No,5,1943-1944,1945-1946,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
112,south-carolina,Francis Marion,francis-marion,Francis Marion,No,1,2015-2016,2015-2016,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
113,south-carolina,Fredonia State,fredonia-state,Fredonia State,No,1,1978-1979,1978-1979,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
114,south-carolina,Furman,furman,Furman,Yes,125,1908-1909,2022-2023,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
115,south-carolina,Gardner-Webb,gardner-webb,Gardner-Webb,Yes,3,2003-2004,2019-2020,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
116,south-carolina,Geo. Washington,george-washington,George Washington,Yes,1,1950-1951,1950-1951,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
117,south-carolina,George Mason,george-mason,George Mason,Yes,2,1981-1982,2007-2008,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
118,south-carolina,George Washington,george-washington,George Washington,Yes,18,1940-1941,2023-2024,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
119,south-carolina,Georgetown,georgetown,Georgetown,Yes,7,1922-1923,2022-2023,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
120,south-carolina,Georgia,georgia,Georgia,Yes,128,1921-1922,2025-2026,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
121,south-carolina,Georgia Southern,georgia-southern,Georgia Southern,Yes,15,1964-1965,2009-2010,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
122,south-carolina,Georgia State,georgia-state,Georgia State,Yes,4,1981-1982,1985-1986,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
123,south-carolina,Georgia Tech,georgia-tech,Georgia Tech,Yes,43,1921-1922,2015-2016,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
124,south-carolina,Gonzaga,gonzaga,Gonzaga,Yes,1,2016-2017,2016-2017,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
125,south-carolina,Grand Canyon,grand-canyon,Grand Canyon,Yes,1,2023-2024,2023-2024,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
126,south-carolina,Guilford,guilford,Guilford,No,2,1917-1918,1922-1923,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
127,south-carolina,Haines Hosiery,haines-hosiery,Haines Hosiery,No,1,1947-1948,1947-1948,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
128,south-carolina,Hamline,hamline,Hamline,No,1,1961-1962,1961-1962,RESOLVED,South Carolina official media-guide label normalization; historical aliases preserved or normalized conservatively.,,
129,south-carolina,Hartford,hartford,Hartford,No,1,1984-1985,1984-1985,RESOLVED,Historical/non-current identity; current D1 registry cross-check,,
