source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
north-carolina,Iowa State,iowa-state,Iowa State,Yes,4,1990-1991,2013-2014,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Iowa State (1/-),iowa-state,Iowa State,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Jacksonville,jacksonville,Jacksonville,Yes,6,1978-1979,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,James Madison,james-madison,James Madison,Yes,3,1981-1982,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,James Madison (1/-),james-madison,James Madison,Yes,1,2022-2023,2022-2023,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas,kansas,Kansas,Yes,10,1959-1960,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas (-/3),kansas,Kansas,Yes,1,2021-2022,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas (1/2),kansas,Kansas,Yes,1,1956-1957,1956-1957,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas (5/16),kansas,Kansas,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas (9/1),kansas,Kansas,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas State,kansas-state,Kansas State,Yes,4,1959-1960,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas State (5/20),kansas-state,Kansas State,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kansas State (9/-),kansas-state,Kansas State,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kent,kent-state,Kent State,Yes,2,1967-1968,1977-1978,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kent State,kent-state,Kent State,Yes,1,2007-2008,2007-2008,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky,kentucky,Kentucky,Yes,33,1923-1924,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (-/13),kentucky,Kentucky,Yes,1,1959-1960,1959-1960,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (-/2),kentucky,Kentucky,Yes,1,1949-1950,1949-1950,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (-/21),kentucky,Kentucky,Yes,1,2021-2022,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (-/9),kentucky,Kentucky,Yes,1,1963-1964,1963-1964,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (13/11),kentucky,Kentucky,Yes,1,1964-1965,1964-1965,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (22/-),kentucky,Kentucky,Yes,1,2020-2021,2020-2021,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (5/20),kentucky,Kentucky,Yes,1,1960-1961,1960-1961,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (5/6),kentucky,Kentucky,Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (7/6),kentucky,Kentucky,Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (9/14),kentucky,Kentucky,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Kentucky (9/19),kentucky,Kentucky,Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,La Salle,la-salle,La Salle,Yes,3,1946-1947,1987-1988,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,La Salle (-/-),la-salle,La Salle,Yes,1,2024-2025,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Leaksville YMCA,leaksville-ymca,Leaksville YMCA,No,2,1919-1920,1936-1937,RESOLVED,HISTORICAL_YMCA_IDENTITY_RETAINED,,
north-carolina,Lehigh,lehigh,Lehigh,Yes,1,1940-1941,1940-1941,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Lehigh (19/-),lehigh,Lehigh,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Lenoir-Rhyne,lenoir-rhyne,Lenoir-Rhyne,No,2,1948-1949,1949-1950,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,
north-carolina,Liberty,liberty,Liberty,Yes,1,1993-1994,1993-1994,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Lipscomb,lipscomb,Lipscomb,Yes,1,2010-2011,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Lipscomb (10/-),lipscomb,Lipscomb,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Little Creek A.B.,little-creek-ab,Little Creek A.B.,No,1,1945-1946,1945-1946,RESOLVED,HISTORICAL_MILITARY_IDENTITY_RETAINED,,
north-carolina,Long Beach St. (5/-),long-beach-state,Long Beach State,Yes,1,2016-2017,2016-2017,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Long Beach State,long-beach-state,Long Beach State,Yes,3,2010-2011,2012-2013,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Long Island,long-island-university,LIU,Yes,1,2010-2011,2010-2011,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,2011 'Long Island' source identity normalized to the LIU lineage now represented by Long Island University.
north-carolina,Louisville,louisville,Louisville,Yes,16,1928-1929,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (-/-),louisville,Louisville,Yes,4,2020-2021,2024-2025,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (-/11),louisville,Louisville,Yes,1,2019-2020,2019-2020,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (12/-),louisville,Louisville,Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (14/-),louisville,Louisville,Yes,1,2017-2018,2017-2018,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (2/19),louisville,Louisville,Yes,1,2015-2016,2015-2016,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (3/-),louisville,Louisville,Yes,1,2018-2019,2018-2019,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
north-carolina,Louisville (4/-),louisville,Louisville,Yes,1,2023-2024,2023-2024,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,
