index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
431,minnesota,North Dakota State BTN.com,north-dakota-state,North Dakota State,Yes,1,2011-2012,2011-2012,RESOLVED,Inherited established project identity,,
432,minnesota,vs. North Dakota State Big Ten Network,north-dakota-state,North Dakota State,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
433,minnesota,North Florida,north-florida,North Florida,Yes,1,2018-2019,2018-2019,RESOLVED,Inherited established project identity,,
434,minnesota,North Florida 21/- BTN.com,north-florida,North Florida,Yes,1,2012-2013,2012-2013,RESOLVED,Inherited established project identity,,
435,minnesota,North Texas,north-texas,North Texas,Yes,1,2024-2025,2024-2025,RESOLVED,Inherited established project identity,,
436,minnesota,Northeastern Illinois,northeastern-illinois,Northeastern Illinois,No,1,1993-1994,1993-1994,RESOLVED,Inherited established project identity,,
437,minnesota,at Northern Illinois,northern-illinois,Northern Illinois,Yes,1,1988-1989,1988-1989,RESOLVED,Inherited established project identity,,
438,minnesota,Northern Illinois,northern-illinois,Northern Illinois,Yes,3,1989-1990,2016-2017,RESOLVED,Inherited established project identity,,
439,minnesota,Northern Illinois Big Ten Network,northern-illinois,Northern Illinois,Yes,1,2009-2010,2009-2010,RESOLVED,Inherited established project identity,,
440,minnesota,Northern Illnois,northern-illnois,Northern Illnois,No,1,1974-1975,1974-1975,RESOLVED,Inherited established project identity,,
441,minnesota,Northern Iowa#,northern-iowa,Northern Iowa,Yes,1,1989-1990,1989-1990,RESOLVED,Inherited established project identity,,
442,minnesota,Northern Michigan,northern-michigan,Northern Michigan,No,2,1973-1974,1976-1977,RESOLVED,Inherited established project identity,,
443,minnesota,at Northwestern,northwestern,Northwestern,Yes,87,1908-1909,2023-2024,RESOLVED,Inherited established project identity,,
444,minnesota,at Northwestern * 17/- Big Ten Network,northwestern,Northwestern,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
445,minnesota,at Northwestern * Big Ten Network,northwestern,Northwestern,Yes,3,2007-2008,2010-2011,RESOLVED,Inherited established project identity,,
446,minnesota,Northwestern,northwestern,Northwestern,Yes,85,1909-1910,2025-2026,RESOLVED,Inherited established project identity,,
447,minnesota,Northwestern * 16/- Big Ten Network,northwestern,Northwestern,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
448,minnesota,Northwestern * Big Ten Network,northwestern,Northwestern,Yes,2,2007-2008,2009-2010,RESOLVED,Inherited established project identity,,
449,minnesota,Northwestern%,northwestern,Northwestern,Yes,1,1997-1998,1997-1998,RESOLVED,Inherited established project identity,,
450,minnesota,Northwestern* /RV,northwestern,Northwestern,Yes,1,2023-2024,2023-2024,RESOLVED,Inherited established project identity,,
451,minnesota,vs. #13 Northwestern,northwestern,Northwestern,Yes,1,2019-2020,2019-2020,RESOLVED,Inherited established project identity,,
452,minnesota,vs. Northwestern,northwestern,Northwestern,Yes,4,2010-2011,2024-2025,RESOLVED,Inherited established project identity,,
453,minnesota,vs. Northwestern * Big Ten Network,northwestern,Northwestern,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
454,minnesota,vs. Northwestern Big Ten Network,northwestern,Northwestern,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
455,minnesota,at Notre Dame,notre-dame,Notre Dame,Yes,9,1925-1926,1970-1971,RESOLVED,Inherited established project identity,,
456,minnesota,Notre Dame,notre-dame,Notre Dame,Yes,13,1923-1924,1969-1970,RESOLVED,Inherited established project identity,,
457,minnesota,at New York U.,nyu,NYU,No,1,1940-1941,1940-1941,RESOLVED,Inherited established project identity,,
458,minnesota,Ohio University,ohio,Ohio,Yes,2,1966-1967,1967-1968,RESOLVED,Inherited established project identity,,
459,minnesota,at Ohio State,ohio-state,Ohio State,Yes,72,1903-1904,2019-2020,RESOLVED,Inherited established project identity,,
460,minnesota,at Ohio State * /18,ohio-state,Ohio State,Yes,1,2021-2022,2021-2022,RESOLVED,Inherited established project identity,,
461,minnesota,at Ohio State * /RV,ohio-state,Ohio State,Yes,1,2022-2023,2022-2023,RESOLVED,Inherited established project identity,,
462,minnesota,at Ohio State * 19/- Big Ten Network,ohio-state,Ohio State,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
463,minnesota,at Ohio State * 21/2 Big Ten Network,ohio-state,Ohio State,Yes,1,2010-2011,2010-2011,RESOLVED,Inherited established project identity,,
464,minnesota,at Ohio State * Big Ten Network,ohio-state,Ohio State,Yes,1,2007-2008,2007-2008,RESOLVED,Inherited established project identity,,
465,minnesota,at Ohio State* /RV,ohio-state,Ohio State,Yes,1,2023-2024,2023-2024,RESOLVED,Inherited established project identity,,
466,minnesota,Ohio State,ohio-state,Ohio State,Yes,74,1916-1917,2025-2026,RESOLVED,Inherited established project identity,,
467,minnesota,Ohio State * /16,ohio-state,Ohio State,Yes,1,2021-2022,2021-2022,RESOLVED,Inherited established project identity,,
468,minnesota,Ohio State * 21/23 Big Ten Network,ohio-state,Ohio State,Yes,1,2008-2009,2008-2009,RESOLVED,Inherited established project identity,,
469,minnesota,Ohio State * Big Ten Network,ohio-state,Ohio State,Yes,1,2009-2010,2009-2010,RESOLVED,Inherited established project identity,,
470,minnesota,Ohio State*,ohio-state,Ohio State,Yes,2,1927-1928,2023-2024,RESOLVED,Inherited established project identity,,
471,minnesota,vs. Ohio State,ohio-state,Ohio State,Yes,2,2014-2015,2020-2021,RESOLVED,Inherited established project identity,,
472,minnesota,vs. Ohio State ^,ohio-state,Ohio State,Yes,1,2017-2018,2017-2018,RESOLVED,Inherited established project identity,,
473,minnesota,at Oklahoma,oklahoma,Oklahoma,Yes,3,1950-1951,1960-1961,RESOLVED,Inherited established project identity,,
474,minnesota,Oklahoma,oklahoma,Oklahoma,Yes,3,1950-1951,1959-1960,RESOLVED,Inherited established project identity,,
475,minnesota,Oklahoma#,oklahoma,Oklahoma,Yes,1,1992-1993,1992-1993,RESOLVED,Inherited established project identity,,
476,minnesota,vs. Oklahoma ^,oklahoma,Oklahoma,Yes,2,2004-2005,2019-2020,RESOLVED,Inherited established project identity,,
477,minnesota,at Oklahoma A & M,oklahoma-state,Oklahoma State,Yes,1,1954-1955,1954-1955,RESOLVED,Inherited established project identity,,
478,minnesota,at Oklahoma State,oklahoma-state,Oklahoma State,Yes,1,1986-1987,1986-1987,RESOLVED,Inherited established project identity,,
479,minnesota,Oklahoma A & M,oklahoma-state,Oklahoma State,Yes,1,1931-1932,1931-1932,RESOLVED,Inherited established project identity,,
480,minnesota,Oklahoma A&M,oklahoma-state,Oklahoma State,Yes,1,1953-1954,1953-1954,RESOLVED,Inherited established project identity,,
481,minnesota,Oklahoma State,oklahoma-state,Oklahoma State,Yes,1,1985-1986,1985-1986,RESOLVED,Inherited established project identity,,
482,minnesota,Oklahoma State ^,oklahoma-state,Oklahoma State,Yes,1,2015-2016,2015-2016,RESOLVED,Inherited established project identity,,
483,minnesota,vs. Oklahoma State @,oklahoma-state,Oklahoma State,Yes,1,2019-2020,2019-2020,RESOLVED,Inherited established project identity,,
484,minnesota,vs. Oklahoma State ^,oklahoma-state,Oklahoma State,Yes,1,2018-2019,2018-2019,RESOLVED,Inherited established project identity,,
