index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
171,michigan,Nashville,nashville,Nashville,No,2,1920-1921,1920-1921,RESOLVED,Michigan record book / historical non-current identity normalization,,
172,michigan,Navy,navy,Navy,Yes,2,1924-1925,1986-1987,RESOLVED,Current D1 registry / established institutional lineage,,
173,michigan,Nebraska,nebraska,Nebraska,Yes,29,1949-1950,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
174,michigan,New Mexico,new-mexico,New Mexico,Yes,1,1957-1958,1957-1958,RESOLVED,Current D1 registry / established institutional lineage,,
175,michigan,Nicholls State,nicholls-state,Nicholls State,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
176,michigan,NJIT,njit,NJIT,Yes,1,2014-2015,2014-2015,RESOLVED,Current D1 registry / established institutional lineage,,
177,michigan,Norfolk State,norfolk-state,Norfolk State,Yes,2,2008-2009,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
178,michigan,North Carolina,north-carolina,North Carolina,Yes,10,1986-1987,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
179,michigan,North Carolina A&T,north-carolina-a-t,North Carolina A&T,Yes,1,1983-1984,1983-1984,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
180,michigan,North Florida,north-florida,North Florida,Yes,1,2017-2018,2017-2018,RESOLVED,Current D1 registry / established institutional lineage,,
181,michigan,Northeastern,northeastern,Northeastern,Yes,1,2008-2009,2008-2009,RESOLVED,Current D1 registry / established institutional lineage,,
182,michigan,Northern Illinois,northern-illinois,Northern Illinois,Yes,3,1967-1968,2006-2007,RESOLVED,Current D1 registry / established institutional lineage,,
183,michigan,Northern Kentucky,northern-kentucky,Northern Kentucky,Yes,1,2015-2016,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
184,michigan,Northern Michigan,northern-michigan,Northern Michigan,No,11,1980-1981,2015-2016,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
185,michigan,Northwestern,northwestern,Northwestern,Yes,181,1917-1918,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
186,michigan,Notre Dame,notre-dame,Notre Dame,Yes,23,1922-1923,2015-2016,RESOLVED,Current D1 registry / established institutional lineage,,
187,michigan,NYU,nyu,NYU,No,1,1963-1964,1963-1964,RESOLVED,Michigan record book / historical non-current identity normalization,,
188,michigan,Oakland,oakland,Oakland,Yes,10,1999-2000,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
189,michigan,Oakland Motor Co.,oakland-motor-co,Oakland Motor Co.,No,1,1919-1920,1919-1920,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
190,michigan,Oberlin,oberlin,Oberlin,No,1,1908-1909,1908-1909,RESOLVED,Michigan record book / historical non-current identity normalization,,
191,michigan,Ohio,ohio,Ohio,Yes,1,2022-2023,2022-2023,RESOLVED,Current D1 registry / established institutional lineage,,
192,michigan,Ohio State,ohio-state,Ohio State,Yes,195,1908-1909,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
193,michigan,Ohio University,ohio,Ohio,Yes,4,1963-1964,2011-2012,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
194,michigan,Ohio Wesleyan,ohio-wesleyan,Ohio Wesleyan,No,3,1925-1926,1930-1931,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
195,michigan,Oklahoma,oklahoma,Oklahoma,Yes,4,1988-1989,2024-2025,RESOLVED,Current D1 registry / established institutional lineage,,
196,michigan,Oklahoma St.,oklahoma-state,Oklahoma State,Yes,1,1991-1992,1991-1992,RESOLVED,Michigan record book / established historical institutional lineage normalization,,
197,michigan,Oklahoma State,oklahoma-state,Oklahoma State,Yes,2,1982-1983,1996-1997,RESOLVED,Current D1 registry / established institutional lineage,,
198,michigan,Old Dominion,old-dominion,Old Dominion,Yes,1,2005-2006,2005-2006,RESOLVED,Current D1 registry / established institutional lineage,,
199,michigan,Oregon,oregon,Oregon,Yes,9,1955-1956,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
200,michigan,Oregon State,oregon-state,Oregon State,Yes,4,1955-1956,1972-1973,RESOLVED,Current D1 registry / established institutional lineage,,
