school,top_level_scope
"North Carolina Central","2007-08+"
"North Dakota","2008-09+"
"North Dakota State","2004-05+"
"North Florida","2005-06+"
"North Texas","1957-58+"
"Northeastern","1972-73+"
"Northern Arizona","1950-51..1952-53|1971-72+"
"Northern Colorado","2003-04+"
"Northern Illinois","1967-68+"
"Northern Iowa","1980-81+"
"Northern Kentucky","2012-13+"
"Northwestern","INCEPTION+"
"Northwestern State","1976-77+"
"Notre Dame","INCEPTION+"
"Oakland","1997-98+"
"Ohio","INCEPTION+"
"Ohio State","INCEPTION+"
"Oklahoma","INCEPTION+"
"Oklahoma State","INCEPTION+"
"Old Dominion","1976-77+"
"Ole Miss","INCEPTION+"
"Omaha","2011-12+"
"Oral Roberts","1971-72..1988-89|1993-94+"
"Oregon","INCEPTION+"
"Oregon State","INCEPTION+"
"Pacific","1953-54+"
"Pennsylvania","INCEPTION+"
"Penn State","INCEPTION+"
"Pepperdine","1955-56+"
"Pittsburgh","INCEPTION+"
"Portland","1953-54+"
"Portland State","1996-97+"
"Prairie View A&M","1980-81+"
"Presbyterian","2007-08+"
"Princeton","INCEPTION+"
"Providence","1948-49..1948-49|1957-58+"
"Purdue","INCEPTION+"
"Purdue Fort Wayne","2001-02+"
"Queens University","2022-23+"
"Quinnipiac","1998-99+"
"Radford","1984-85+"
"Rhode Island","INCEPTION+"
"Rice","INCEPTION+"
"Richmond","INCEPTION+"
"Rider","1967-68+"
"Robert Morris","1976-77+"
"Rutgers","INCEPTION+"
"Sacramento State","1991-92+"
"Sacred Heart","1999-00+"
"Saint Joseph's","INCEPTION+"
"Saint Louis","INCEPTION+"
"Saint Mary's","INCEPTION+"
"Saint Peter's","1964-65+"
"Sam Houston","1986-87+"
"Samford","1972-73+"
"San Diego","1979-80+"
"San Diego State","1970-71+"
"San Francisco","1947-48..1981-82|1985-86+"
"San José State","1952-53+"
"Santa Clara","INCEPTION+"
"Seattle U","2009-10+"
"Southeast Missouri State","1991-92+"
"Seton Hall","INCEPTION+"
"Siena","1947-48..1948-49|1950-51..1959-60|1976-77+"
"SIU Edwardsville","2008-09+"
"SMU","INCEPTION+"
"South Alabama","1971-72+"
"South Carolina","INCEPTION+"
"South Carolina State","1973-74+"
"South Dakota","2008-09+"
"South Dakota State","2004-05+"
"South Florida","1973-74+"
"SE Louisiana","1980-81..1988-89|1990-91+"
"Southern","1977-78+"
"Southern Illinois","1967-68+"
"Southern Indiana","2022-23+"
"Southern Miss","1968-69..1968-69|1972-73+"
"Southern Utah","1988-89+"
"St. Bonaventure","INCEPTION+"
"St. John's","INCEPTION+"
"St. Thomas-Minnesota","2022-23+"
"Stanford","INCEPTION+"
"Stephen F. Austin","1986-87+"
"Stetson","1971-72+"
"Stonehill","2022-23+"
"Stony Brook","1998-99+"
"Syracuse","INCEPTION+"
"Texas A&M-Corpus Christi","1999-00+"
"Tarleton State","2020-21+"
"TCU","INCEPTION+"
"Temple","INCEPTION+"
"Tennessee","INCEPTION+"
"Tennessee State","1977-78+"
"Tennessee Tech","1955-56+"
"Texas","INCEPTION+"
"Texas A&M","INCEPTION+"
"Texas Southern","1977-78+"
"Texas State","1984-85+"
"Texas Tech","1950-51+"
"The Citadel","INCEPTION+"
"Toledo","INCEPTION+"
"Towson","1979-80+"
"Troy","1993-94+"
"Tulane","1947-48..1984-85|1989-90+"
"Tulsa","INCEPTION+"
"UAB","1978-79+"
"Arkansas-Pine Bluff","1997-98+"
"UC Davis","2004-05+"
"UC Irvine","1977-78+"
"UC Riverside","2000-01+"
"UC San Diego","2020-21+"
"UC Santa Barbara","1963-64+"
"UCF","1984-85+"
"UCLA","INCEPTION+"
"UIC","1981-82+"
"UMass Lowell","2013-14+"
"UMBC","1986-87+"
"Maryland Eastern Shore","1973-74..1974-75|1981-82+"
"UNC Asheville","1984-85+"
"UNC Greensboro","1991-92+"
"UNC Wilmington","1976-77+"
"UNLV","1969-70+"
"USC","INCEPTION+"
"South Carolina Upstate","2007-08+"
"UT Arlington","1968-69+"
"UT Martin","1992-93+"
"Utah","INCEPTION+"
"Utah State","INCEPTION+"
"Utah Tech","2020-21+"
"Utah Valley","2003-04+"
"UTEP","1950-51+"
"UT Rio Grande Valley","1968-69+"
"UTSA","1981-82+"
"Valparaiso","1947-48..1949-50|1978-79+"
"Vanderbilt","INCEPTION+"
"VCU","1973-74+"
"Vermont","1961-62+"
"Villanova","INCEPTION+"
"Virginia","INCEPTION+"
"Virginia Tech","INCEPTION+"
"VMI","INCEPTION+"
"Wagner","1976-77+"
"Wake Forest","INCEPTION+"
"Washington","INCEPTION+"
"Washington State","INCEPTION+"
"Weber State","1963-64+"
"West Florida","2026-27+"
"West Georgia","2024-25+"
"West Virginia","INCEPTION+"
"Western Carolina","1976-77+"
"Western Illinois","1981-82+"
"Western Kentucky","INCEPTION+"
"Western Michigan","INCEPTION+"
"Wichita State","INCEPTION+"
"William & Mary","INCEPTION+"
"Winthrop","1986-87+"
"Wisconsin","INCEPTION+"
"Wofford","1995-96+"
"Wright State","1987-88+"
"Wyoming","INCEPTION+"
"Xavier","INCEPTION+"
"Yale","INCEPTION+"
"Youngstown State","1947-48..1947-48|1981-82+"
