index,index,source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,administrative_status,administrative_note,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes,identity_override,identity_override_basis,identity_match_program_key,identity_match_source_game_id
914,914,MDRAW-00915,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-02,Virginia,Virginia,virginia,Yes,68,58,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D2 • Virginia W 68-58,resolved,,,,,
915,915,MDRAW-00916,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-04,Georgetown,Georgetown,georgetown,Yes,72,83,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D4 at Georgetown L 72-83,resolved,,,,,
916,916,MDRAW-00917,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-07,Penn State,Penn State,penn-state,Yes,62,91,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D7 at Penn State L 62-91,resolved,,,,,
917,917,MDRAW-00918,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-10,NC State,NC State,nc-state,Yes,72,62,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D10 • NC State W 72-62,resolved,,,,,
918,918,MDRAW-00919,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-14,West Virginia,West Virginia,west-virginia,Yes,74,72,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D14 West Virginia W 74-72,resolved,,,,,
919,919,MDRAW-00920,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-16,Clemson,Clemson,clemson,Yes,56,48,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D16 • Clemson W 56-48,resolved,,,,,
920,920,MDRAW-00921,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-20,Tennessee,Tennessee,tennessee,Yes,59,70,L,0,,,unprefixed,NEUTRAL,Virginia Tech Coliseum,Cassell Coliseum,Blacksburg,VA,"VPI Tournament at Blacksburg, Va. (Virginia Tech Coliseum)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D20 Tennessee 1 L 59-70,resolved,Integration preparation: curated physical venue resolved to Cassell Coliseum; source Virginia Tech Coliseum wording preserved.,,,,
921,921,MDRAW-00922,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-21,Louisiana State,LSU,lsu,Yes,75,65,W,0,,,unprefixed,NEUTRAL,Virginia Tech Coliseum,Cassell Coliseum,Blacksburg,VA,"VPI Tournament at Blacksburg, Va. (Virginia Tech Coliseum)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D21 Louisiana State 1 W 75-65,resolved,Integration preparation: curated physical venue resolved to Cassell Coliseum; source Virginia Tech Coliseum wording preserved.,,,,
922,922,MDRAW-00923,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-27,Arizona,Arizona,arizona,Yes,54,57,L,0,,,unprefixed,NEUTRAL,Roberts Stadium,Roberts Stadium,Evansville,IN,"Evansville Holiday Tournament at Evansville, Ind. (Roberts Stadium)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D27 Arizona 2 L 54-57,resolved,,,,,
923,923,MDRAW-00924,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1963-12-28,Columbia,Columbia,columbia,Yes,82,76,W,0,,,unprefixed,NEUTRAL,Roberts Stadium,Roberts Stadium,Evansville,IN,"Evansville Holiday Tournament at Evansville, Ind. (Roberts Stadium)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D28 Columbia 2 W 82-76,resolved,,,,,
924,924,MDRAW-00925,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-01-06,South Carolina,South Carolina,south-carolina,Yes,69,73,L,1,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J6 • South Carolina (OT) L 69-73,resolved,,,,,
925,925,MDRAW-00926,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-01-11,Navy,Navy,navy,Yes,55,68,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J11 at Navy L 55-68,resolved,,,,,
926,926,MDRAW-00927,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-01-13,No. Carolina,North Carolina,north-carolina,Yes,88,97,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J13 • at No. Carolina L 88-97,resolved,,,,,
927,927,MDRAW-00928,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-01-18,NC State,NC State,nc-state,Yes,65,66,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J18 • at NC State L 65-66,resolved,,,,,
928,928,MDRAW-00929,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-01-20,Wake Forest,Wake Forest,wake-forest,Yes,91,82,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J20 • at Wake Forest W 91-82,resolved,,,,,
929,929,MDRAW-00930,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-01,Geo. Washington,George Washington,george-washington,Yes,80,76,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F1 at Geo. Washington W 80-76,resolved,,,,,
930,930,MDRAW-00931,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-05,West Virginia,West Virginia,west-virginia,Yes,67,91,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F5 at West Virginia L 67-91,resolved,,,,,
931,931,MDRAW-00932,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-08,Duke,Duke,duke,Yes,72,104,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F8 [7] • Duke L 72-104,resolved,,,,,
932,932,MDRAW-00933,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-14,Wake Forest,Wake Forest,wake-forest,Yes,77,79,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F14 • Wake Forest L 77-79,resolved,,,,,
933,933,MDRAW-00934,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-18,No. Carolina,North Carolina,north-carolina,Yes,74,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F18 • No. Carolina W 74-64,resolved,,,,,
934,934,MDRAW-00935,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-20,Virginia,Virginia,virginia,Yes,73,79,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F20 • at Virginia L 73-79,resolved,,,,,
935,935,MDRAW-00936,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-22,Duke,Duke,duke,Yes,63,84,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F22 [4] • at Duke L 63-84,resolved,,,,,
936,936,MDRAW-00937,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-25,Georgetown,Georgetown,georgetown,Yes,78,81,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F25 Georgetown L 78-81,resolved,,,,,
937,937,MDRAW-00938,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-28,Clemson,Clemson,clemson,Yes,68,83,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F28 • at Clemson L 68-83,resolved,,,,,
938,938,MDRAW-00939,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-02-29,South Carolina,South Carolina,south-carolina,Yes,64,74,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F29 • at South Carolina L 64-74,resolved,,,,,
939,939,MDRAW-00940,maryland,2025-26_record_book_all_time_results,1963-1964,1964,1964-03-05,Clemson,Clemson,clemson,Yes,67,81,L,0,,,unprefixed,NEUTRAL,Reynolds Coliseum,Reynolds Coliseum,Raleigh,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M5 Clemson 3 L 67-81,resolved,,,,,
940,940,MDRAW-00941,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-02,Penn State,Penn State,penn-state,Yes,72,71,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D2 Penn State W 72-71,resolved,,,,,
941,941,MDRAW-00942,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-03,George Washington,George Washington,george-washington,Yes,82,80,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D3 George Washington W 82-80,resolved,,,,,
942,942,MDRAW-00943,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-05,Virginia,Virginia,virginia,Yes,59,61,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D5 • at Virginia L 59-61,resolved,,,,,
943,943,MDRAW-00944,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-08,NC State,NC State,nc-state,Yes,62,63,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D8 • NC State L 62-63,resolved,,,,,
944,944,MDRAW-00945,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-12,West Virginia,West Virginia,west-virginia,Yes,73,80,L,1,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D12 West Virginia (OT) L 73-80,resolved,,,,,
945,945,MDRAW-00946,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-18,Wake Forest,Wake Forest,wake-forest,Yes,82,64,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D18 • Wake Forest W 82-64,resolved,,,,,
946,946,MDRAW-00947,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-19,Kansas,Kansas,kansas,Yes,61,63,L,1,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D19 Kansas (OT) L 61-63,resolved,,,,,
947,947,MDRAW-00948,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-28,Tulsa,Tulsa,tulsa,Yes,66,59,W,0,,,unprefixed,NEUTRAL,Cole Field House,Cole Field House,College Park,MD,"Miami, Fla. (Miami Beach Convention Center)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D28 Tulsa 1 W 66-59,resolved,Official Maryland 1964-65 schedule places Tulsa at the Miami Beach Convention Center without home/away designation; neutral classification corroborated by season site totals.,,,,
948,948,MDRAW-00949,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1964-12-29,Miami,Miami (FL),miami,Yes,73,80,L,0,,,at,OPPONENT_HOME,Miami Beach Convention Center,Miami Beach Convention Center,Miami,FL,"Miami, Fla. (Miami Beach Convention Center)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D29 at Miami 1 L 73-80,resolved,,,,,
949,949,MDRAW-00950,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-04,No. Carolina,North Carolina,north-carolina,Yes,76,68,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J4 • No. Carolina W 76-68,resolved,,,,,
950,950,MDRAW-00951,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-08,Clemson,Clemson,clemson,Yes,67,65,W,2,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J8 • at Clemson (2OT) W 67-65,resolved,,,,,
951,951,MDRAW-00952,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-09,South Carolina,South Carolina,south-carolina,Yes,75,70,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J9 • at South Carolina W 75-70,resolved,,,,,
952,952,MDRAW-00953,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-13,Navy,Navy,navy,Yes,77,58,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J13 Navy W 77-58,resolved,,,,,
953,953,MDRAW-00954,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-14,Wake Forest,Wake Forest,wake-forest,Yes,93,85,W,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J14 • at Wake Forest (OT) W 93-85,resolved,,,,,
954,954,MDRAW-00955,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-16,NC State,NC State,nc-state,Yes,67,73,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J16 • at NC State L 67-73,resolved,,,,,
955,955,MDRAW-00956,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-01-30,No. Carolina,North Carolina,north-carolina,Yes,91,80,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J30 • at No. Carolina W 91-80,resolved,,,,,
956,956,MDRAW-00957,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-01,Duke,Duke,duke,Yes,64,82,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F1 [10] • at Duke L 64-82,resolved,,,,,
957,957,MDRAW-00958,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-10,West Virginia,West Virginia,west-virginia,Yes,86,78,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F10 at West Virginia W 86-78,resolved,,,,,
958,958,MDRAW-00959,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-13,Georgetown,Georgetown,georgetown,Yes,85,67,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F13 at Georgetown W 85-67,resolved,,,,,
959,959,MDRAW-00960,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-17,Virginia,Virginia,virginia,Yes,52,47,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F17 • Virginia W 52-47,resolved,,,,,
960,960,MDRAW-00961,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-20,Navy,Navy,navy,Yes,70,57,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F20 at Navy W 70-57,resolved,,,,,
961,961,MDRAW-00962,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-23,Duke,Duke,duke,Yes,85,82,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F23 [5] • Duke W 85-82,resolved,,,,,
962,962,MDRAW-00963,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-26,Clemson,Clemson,clemson,Yes,88,71,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F26 • Clemson W 88-71,resolved,,,,,
963,963,MDRAW-00964,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-02-27,South Carolina,South Carolina,south-carolina,Yes,73,59,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F27 • South Carolina W 73-59,resolved,,,,,
964,964,MDRAW-00965,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-03-04,Clemson,Clemson,clemson,Yes,61,50,W,0,,,unprefixed,NEUTRAL,Reynolds Coliseum,Reynolds Coliseum,Raleigh,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M4 Clemson 2 W 61-50,resolved,,,,,
965,965,MDRAW-00966,maryland,2025-26_record_book_all_time_results,1964-1965,1965,1965-03-05,NC State,NC State,nc-state,Yes,67,76,L,0,,,at,OPPONENT_HOME,Reynolds Coliseum,Reynolds Coliseum,Raleigh,NC,ACC Tournament,,CONFERENCE_TOURNAMENT,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,M5 at NC State 2 L 67-76,resolved,,,,,
966,966,MDRAW-00967,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-01,Penn State,Penn State,penn-state,Yes,61,65,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D1 at Penn State L 61-65,resolved,,,,,
967,967,MDRAW-00968,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-04,Wake Forest,Wake Forest,wake-forest,Yes,87,66,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D4 • Wake Forest W 87-66,resolved,,,,,
968,968,MDRAW-00969,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-07,NC State,NC State,nc-state,Yes,59,48,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D7 • NC State W 59-48,resolved,,,,,
969,969,MDRAW-00970,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-10,Kansas,Kansas,kansas,Yes,62,71,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D10 [7] at Kansas L 62-71,resolved,,,,,
970,970,MDRAW-00971,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-11,Kansas State,Kansas State,kansas-state,Yes,63,57,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D11 at Kansas State W 63-57,resolved,,,,,
971,971,MDRAW-00972,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-15,Georgetown,Georgetown,georgetown,Yes,77,59,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D15 Georgetown W 77-59,resolved,,,,,
972,972,MDRAW-00973,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-21,West Virginia,West Virginia,west-virginia,Yes,74,76,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D21 at West Virginia L 74-76,resolved,,,,,
973,973,MDRAW-00974,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-29,Houston,Houston,houston,Yes,69,68,W,0,,,unprefixed,NEUTRAL,Loyola Field House,Loyola Field House,New Orleans,LA,"Sugar Bowl Tournament at New Orleans, La. (Loyola Field House)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D29 Houston 1 W 69-68,resolved,,,,,
974,974,MDRAW-00975,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1965-12-30,Dayton,Dayton,dayton,Yes,77,75,W,0,,,unprefixed,NEUTRAL,Loyola Field House,Loyola Field House,New Orleans,LA,"Sugar Bowl Tournament at New Orleans, La. (Loyola Field House)",,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,D30 Dayton 1 W 77-75,resolved,,,,,
975,975,MDRAW-00976,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-03,No. Carolina,North Carolina,north-carolina,Yes,52,67,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J3 • at No. Carolina L 52-67,resolved,,,,,
976,976,MDRAW-00977,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-05,Virginia,Virginia,virginia,Yes,62,65,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J5 • Virginia L 62-65,resolved,,,,,
977,977,MDRAW-00978,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-13,Duke,Duke,duke,Yes,61,76,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J13 [1] • at Duke L 61-76,resolved,,,,,
978,978,MDRAW-00979,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-15,NC State,NC State,nc-state,Yes,58,60,L,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J15 • at NC State (OT) L 58-60,resolved,,,,,
979,979,MDRAW-00980,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-27,Geo. Washington,George Washington,george-washington,Yes,107,81,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J27 at Geo. Washington W 107-81,resolved,,,,,
980,980,MDRAW-00981,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-29,Clemson,Clemson,clemson,Yes,66,71,L,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J29 • at Clemson L 66-71,resolved,,,,,
981,981,MDRAW-00982,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-01-31,South Carolina,South Carolina,south-carolina,Yes,78,63,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,J31 • at South Carolina W 78-63,resolved,,,,,
982,982,MDRAW-00983,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-05,No. Carolina,North Carolina,north-carolina,Yes,76,66,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F5 • No. Carolina W 76-66,resolved,,,,,
983,983,MDRAW-00984,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-07,Wake Forest,Wake Forest,wake-forest,Yes,86,78,W,1,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F7 • at Wake Forest (OT) W 86-78,resolved,,,,,
984,984,MDRAW-00985,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-09,Navy,Navy,navy,Yes,74,69,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F9 Navy W 74-69,resolved,,,,,
985,985,MDRAW-00986,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-12,West Virginia,West Virginia,west-virginia,Yes,107,92,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F12 West Virginia W 107-92,resolved,,,,,
986,986,MDRAW-00987,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-16,Virginia,Virginia,virginia,Yes,71,64,W,0,,,at,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F16 • at Virginia W 71-64,resolved,,,,,
987,987,MDRAW-00988,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-19,Duke,Duke,duke,Yes,69,74,L,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F19 [2] • Duke L 69-74,resolved,,,,,
988,988,MDRAW-00989,maryland,2025-26_record_book_all_time_results,1965-1966,1966,1966-02-25,South Carolina,South Carolina,south-carolina,Yes,56,42,W,0,,,unprefixed,SOURCE_PROGRAM_HOME,Cole Field House,Cole Field House,College Park,MD,,,REGULAR_SEASON,,All-Time Results pp. 55-64; postseason cross-check pp. 82-90,F25 • South Carolina W 56-42,resolved,,,,,
