source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
baylor,"* at Texas Tech 10,962",texas-tech,Texas Tech,TRUE,1,2008-2009,2008-2009,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 11,161",texas-tech,Texas Tech,TRUE,1,1999-2000,1999-2000,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 12,827",texas-tech,Texas Tech,TRUE,2,2015-2016,2017-2018,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 13,856",texas-tech,Texas Tech,TRUE,1,2001-2002,2001-2002,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 14,598",texas-tech,Texas Tech,TRUE,1,2018-2019,2018-2019,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 15,098",texas-tech,Texas Tech,TRUE,1,2019-2020,2019-2020,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 4,353",texas-tech,Texas Tech,TRUE,1,1992-1993,1992-1993,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 6,240",texas-tech,Texas Tech,TRUE,1,1994-1995,1994-1995,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 6,385",texas-tech,Texas Tech,TRUE,1,2012-2013,2012-2013,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 6,572",texas-tech,Texas Tech,TRUE,1,2014-2015,2014-2015,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 7,143",texas-tech,Texas Tech,TRUE,1,1998-1999,1998-1999,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 7,391",texas-tech,Texas Tech,TRUE,1,1997-1998,1997-1998,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 7,428",texas-tech,Texas Tech,TRUE,1,1996-1997,1996-1997,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 7,859",texas-tech,Texas Tech,TRUE,1,2005-2006,2005-2006,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 7,914",texas-tech,Texas Tech,TRUE,1,2007-2008,2007-2008,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 8,042",texas-tech,Texas Tech,TRUE,1,1995-1996,1995-1996,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 8,247",texas-tech,Texas Tech,TRUE,1,2011-2012,2011-2012,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 8,827",texas-tech,Texas Tech,TRUE,1,2000-2001,2000-2001,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 8,857",texas-tech,Texas Tech,TRUE,1,2010-2011,2010-2011,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
baylor,"* at Texas Tech 8,972",texas-tech,Texas Tech,TRUE,1,2006-2007,2006-2007,RESOLVED,current-D1 registry exact/normalized match,,Current project program registry; Baylor source label
