source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
kansas,Texas A&M,texas-a-m,Texas A&M,Yes,22,1967-1968,2017-2018,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Texas A&M-CC,texas-a-m-corpus-christi,TAMUCC,Yes,1,2010-2011,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Texas A&M-Corpus Christi,texas-a-m-corpus-christi,TAMUCC,Yes,1,2025-2026,2025-2026,resolved,2025-26 curated schedule / current-D1 registry,,
kansas,Texas Arlington,ut-arlington,UT Arlington,Yes,1,2010-2011,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Texas Southern,texas-southern,Texas Southern,Yes,6,1981-1982,2022-2023,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Texas Tech,texas-tech,Texas Tech,Yes,53,1959-1960,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Texas-El Paso,utep,UTEP,Yes,1,1966-1967,1966-1967,resolved,Clear Kansas/source alias,,
kansas,Texas-Pan American,ut-rio-grande-valley,UTRGV,Yes,1,1989-1990,1989-1990,resolved,Clear Kansas/source alias,,
kansas,Texas-San Antonio,utsa,UTSA,Yes,1,1990-1991,1990-1991,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,The Citadel,the-citadel,The Citadel,Yes,1,1986-1987,1986-1987,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Toledo,toledo,Toledo,Yes,3,2006-2007,2017-2018,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Topeka YMCA,topeka-ymca,Topeka YMCA,No,8,1898-1899,1903-1904,resolved,New historical/non-current identity using source label,,
kansas,Towson,towson,Towson,Yes,4,2006-2007,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Trinity,trinity,Trinity,No,1,1948-1949,1948-1949,resolved,New historical/non-current identity using source label,,
kansas,Tulane,tulane,Tulane,Yes,4,1946-1947,1983-1984,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Tulsa,tulsa,Tulsa,Yes,6,1953-1954,2002-2003,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,U. S. International,u-s-international,U.S. International,No,1,1982-1983,1982-1983,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UAB,uab,UAB,Yes,4,1984-1985,2016-2017,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UC Davis,uc-davis,UC Davis,Yes,1,2016-2017,2016-2017,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UC Irvine,uc-irvine,UC Irvine,Yes,1,2015-2016,2015-2016,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UC Santa Barbara,uc-santa-barbara,UC Santa Barbara,Yes,2,2003-2004,2014-2015,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UCF,ucf,UCF,Yes,5,2023-2024,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UCLA,ucla,UCLA,Yes,18,1958-1959,2015-2016,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UConn,uconn,Connecticut,Yes,1,2025-2026,2025-2026,resolved,2025-26 curated schedule / current-D1 registry,,
kansas,UL-Lafayette,louisiana,Louisiana,Yes,1,2004-2005,2004-2005,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UMKC,kansas-city,Kansas City,Yes,7,1992-1993,2016-2017,resolved,Clear Kansas/source alias,,
kansas,UNC Asheville,unc-asheville,UNC Asheville,Yes,4,1993-1994,2016-2017,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UNC Greensboro,unc-greensboro,UNC Greensboro,Yes,2,2002-2003,2019-2020,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UNCW,unc-wilmington,UNC Wilmington,Yes,1,2024-2025,2024-2025,resolved,New historical/non-current identity using source label,,
kansas,UNLV,unlv,UNLV,Yes,6,1989-1990,2016-2017,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,USC,usc,USC,Yes,17,1935-1936,2020-2021,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,UT Chattanooga,chattanooga,Chattanooga,Yes,1,2003-2004,2003-2004,resolved,Clear Kansas/source alias,,
kansas,UTEP,utep,UTEP,Yes,5,1965-1966,2021-2022,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Utah,utah,Utah,Yes,4,1995-1996,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Utah State,utah-state,Utah State,Yes,7,1935-1936,2002-2003,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,VCU,vcu,VCU,Yes,1,2010-2011,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Valparaiso,valparaiso,Valparaiso,Yes,3,1969-1970,2010-2011,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Vanderbilt,vanderbilt,Vanderbilt,Yes,5,1972-1973,2015-2016,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Vermont,vermont,Vermont,Yes,2,2004-2005,2018-2019,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Villanova,villanova,Villanova,Yes,10,1967-1968,2021-2022,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Virginia,virginia,Virginia,Yes,3,1994-1995,1996-1997,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Wake Forest,wake-forest,Wake Forest,Yes,5,1983-1984,2013-2014,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Warrensburg,university-of-central-missouri,University of Central Missouri,No,10,1906-1907,1945-1946,resolved,Historical shorthand for the Warrensburg institution now UCM,,
kansas,Washburn,washburn,Washburn,No,35,1905-1906,2020-2021,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Washington,washington,Washington,Yes,10,1952-1953,2017-2018,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Washington (Mo. ),washington-university,Washington University,No,56,1908-1909,1948-1949,resolved,Clear Kansas/source alias,,
kansas,Washington State,washington-state,Washington State,Yes,2,1973-1974,2012-2013,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,West Virginia,west-virginia,West Virginia,Yes,30,2012-2013,2025-2026,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Western Carolina,western-carolina,Western Carolina,Yes,3,1984-1985,1987-1988,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Western Illinois,western-illinois,Western Illinois,Yes,1,2005-2006,2005-2006,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Western Kentucky,western-kentucky,Western Kentucky,Yes,5,1969-1970,2012-2013,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Western Michigan,western-michigan,Western Michigan,Yes,1,1993-1994,1993-1994,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Wichita,wichita-state,Wichita State,Yes,3,1940-1941,1955-1956,resolved,Institutional lineage: University of Wichita → Wichita State,,
kansas,Wichita State,wichita-state,Wichita State,Yes,12,1980-1981,2023-2024,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,William Jewell,william-jewell,William Jewell,No,14,1898-1899,1914-1915,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Winfield YMCA,winfield-ymca,Winfield YMCA,No,1,1908-1909,1908-1909,resolved,New historical/non-current identity using source label,,
kansas,Winston-Salem St,winston-salem-st,Winston-Salem St,No,1,2006-2007,2006-2007,resolved,New historical/non-current identity using source label,,
kansas,Winthrop,winthrop,Winthrop,Yes,1,1989-1990,1989-1990,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Wisc. -Milwaukee,milwaukee,Milwaukee,Yes,1,2004-2005,2004-2005,resolved,Current D1 naming normalization,,
kansas,Wisconsin,wisconsin,Wisconsin,Yes,5,1955-1956,2022-2023,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Wisconsin-Oshkosh,wisconsin-oshkosh,Wisconsin-Oshkosh,No,1,1979-1980,1979-1980,resolved,New historical/non-current identity using source label,,
kansas,Wofford,wofford,Wofford,Yes,1,2018-2019,2018-2019,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Wyandotte AC,wyandotte-ac,Wyandotte AC,No,1,1905-1906,1905-1906,resolved,New historical/non-current identity using source label,,
kansas,Wyoming,wyoming,Wyoming,Yes,2,1962-1963,2002-2003,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Xavier,xavier,Xavier,Yes,6,1966-1967,1999-2000,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,Yale,yale,Yale,Yes,4,1975-1976,2023-2024,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,† Kansas State,kansas-state,Kansas State,Yes,1,1954-1955,1954-1955,resolved,Inherited Missouri/Illinois/Northwestern/current-D1 identity,,
kansas,† Ottawa,ottawa,† Ottawa,No,1,1907-1908,1907-1908,resolved,New historical/non-current identity using source label,,
kansas,‡ Ajax AC,ajax-ac,Ajax AC,No,1,1900-1901,1900-1901,resolved,Source footnote marker removed,,
