source_game_id,source_program_key,source_era,season_label,season_year,game_date,source_opponent_label,normalized_opponent_name,normalized_opponent_key,opponent_current_d1,team_score,opponent_score,played_result,overtime_periods,source_site_candidate,curated_site_type,source_venue_name,curated_venue_name,city,state,event_or_tournament,source_round,curated_game_type,curated_postseason_round,source_page,raw_text,normalization_status,notes
MIZ-HIST-00019,missouri,historical_media_guide,1907-1908,1908,1907-12-14,Missouri-Rolla,Missouri Rolla,missouri-rolla,No,75,11,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 14 Missouri-Rolla W 75-11,opponent_resolved_site_pending,
MIZ-HIST-00020,missouri,historical_media_guide,1907-1908,1908,1907-12-17,Central Missouri,Central Missouri,central-missouri,No,34,16,W,0,home_or_special_site_candidate,SOURCE_PROGRAM_HOME,Rothwell Gymnasium,Rothwell Gymnasium,Columbia,MO,,,REGULAR_SEASON,,19,Dec. 17 Central Missouri W 34-16,opponent_resolved_site_pending,
MIZ-HIST-00021,missouri,historical_media_guide,1907-1908,1908,1908-01-28,Mo. Athletic Club,Missouri Athletic Club,missouri-athletic-club,No,31,30,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 28 @ Mo. Athletic Club W 31-30,opponent_resolved_site_pending,
MIZ-HIST-00022,missouri,historical_media_guide,1907-1908,1908,1908-01-29,Washington (Mo.),Washington University of St. Louis,washington-university-of-st-louis,No,22,30,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 29 @ Washington (Mo.) L 22-30,opponent_resolved_site_pending,
MIZ-HIST-00023,missouri,historical_media_guide,1907-1908,1908,1908-01-30,Iowa,Iowa,iowa,Yes,15,46,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 30 @ Iowa L 15-46,opponent_resolved_site_pending,
MIZ-HIST-00024,missouri,historical_media_guide,1907-1908,1908,1908-01-31,Nebraska,Nebraska,nebraska,Yes,30,41,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Jan. 31 @ Nebraska L 30-41,opponent_resolved_site_pending,
MIZ-HIST-00025,missouri,historical_media_guide,1907-1908,1908,1908-02-01,Nebraska,Nebraska,nebraska,Yes,31,43,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 1 @ Nebraska L 31-43,opponent_resolved_site_pending,
MIZ-HIST-00026,missouri,historical_media_guide,1907-1908,1908,1908-02-03,K.C. Athletic Club,K.C. Athletic Club,k-c-athletic-club,No,46,27,W,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 3 @ K.C. Athletic Club W 46-27,opponent_resolved_site_pending,
MIZ-HIST-00027,missouri,historical_media_guide,1907-1908,1908,1908-02-04,Kansas,Kansas,kansas,Yes,20,21,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 4 @ Kansas L 20-21,opponent_resolved_site_pending,
MIZ-HIST-00028,missouri,historical_media_guide,1907-1908,1908,1908-02-05,Kansas,Kansas,kansas,Yes,18,24,L,0,away_candidate,OPPONENT_HOME,,,,,,,REGULAR_SEASON,,19,Feb. 5 @ Kansas L 18-24,opponent_resolved_site_pending,
