index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
212,ole-miss,Iowa,iowa,Iowa,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/alabama/opponents.csv; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv
213,ole-miss,#14 Iowa State,iowa-state,Iowa State,Yes,1,2024-2025,2024-2025,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/alabama/opponents.csv; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
214,ole-miss,Iowa State,iowa-state,Iowa State,Yes,1,2000-2001,2000-2001,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/alabama/opponents.csv; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv; schools/minnesota/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
215,ole-miss,IUPUI,iu-indianapolis,IU Indy,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / Ole Miss alias normalization,,Research-resolved during Ole Miss package construction.
216,ole-miss,Jackson AAB,jackson-aab,Jackson AAB,No,2,1944-1945,1944-1945,RESOLVED,Historical/non-current source identity,,Research-resolved during Ole Miss package construction.
217,ole-miss,Jackson State,jackson-state,Jackson State,Yes,4,1986-1987,2020-2021,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/alabama/opponents.csv; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/illinois/opponents.csv; schools/kansas/opponents.csv; schools/kentucky/opponents.csv; schools/missouri/opponents.csv; schools/northwestern/opponents.csv; schools/vanderbilt/opponents.csv
218,ole-miss,Jacksonville,jacksonville,Jacksonville,Yes,3,1977-1978,1984-1985,RESOLVED,Current D1 registry / Ole Miss alias normalization,,Research-resolved during Ole Miss package construction.
219,ole-miss,Jacksonville State,jacksonville-state,Jacksonville State,Yes,3,1999-2000,2009-2010,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/alabama/opponents.csv; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/illinois/opponents.csv; schools/kentucky/opponents.csv; schools/missouri/opponents.csv; schools/tennessee/opponents.csv; schools/vanderbilt/opponents.csv
220,ole-miss,Jacksonville St. Teachers College,jacksonville-state,Jacksonville State,Yes,1,1947-1948,1947-1948,RESOLVED,Current D1 registry / Ole Miss alias normalization,,Research-resolved during Ole Miss package construction.
221,ole-miss,Jackson YMCA,jackson-ymca,Jackson YMCA,No,5,1912-1913,1925-1926,RESOLVED,Inherited established project identity,,schools/vanderbilt/opponents.csv
222,ole-miss,James Madison,james-madison,James Madison,Yes,1,1991-1992,1991-1992,RESOLVED,Current D1 registry / inherited established identity,,program registry; schools/arkansas/opponents.csv; schools/auburn/opponents.csv; schools/florida/opponents.csv; schools/minnesota/opponents.csv; schools/vanderbilt/opponents.csv
