source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
virginia,Fordham,fordham,Fordham,Yes,3,1923-1924,2005-2006,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Fordham
virginia,Fort Belvoir,fort-belvoir,Fort Belvoir,No,1,1943-1944,1943-1944,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Fort Belvoir
virginia,Fort Myer,fort-myer,Fort Myer,No,1,1918-1919,1918-1919,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_COLLEGIATE canonical=Fort Myer
virginia,Franklin & Marshall,franklin-and-marshall,Franklin & Marshall,No,4,1911-1912,1953-1954,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Franklin & Marshall
virginia,Gallaudet,gallaudet,Gallaudet,No,9,1911-1912,1932-1933,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Gallaudet
virginia,Gardner-Webb,gardner-webb,Gardner-Webb,Yes,1,2002-2003,2002-2003,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Gardner-Webb
virginia,Geo. Wash. (10),george-washington,George Washington,Yes,1,1953-1954,1953-1954,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=George Washington
virginia,George Mason,george-mason,George Mason,Yes,6,1983-1984,2012-2013,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=George Mason
virginia,George Washington,george-washington,George Washington,Yes,43,1906-1907,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=George Washington
virginia,Georgetown,georgetown,Georgetown,Yes,20,1906-1907,2002-2003,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgetown
virginia,Georgetown (18),georgetown,Georgetown,Yes,1,1991-1992,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgetown
virginia,Georgia,georgia,Georgia,Yes,7,1925-1926,2021-2022,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia
virginia,Georgia SoCon,georgia,Georgia,Yes,1,1931-1932,1931-1932,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS; SOURCE_LABEL_NORMALIZATION,,Virginia media guide all-time series table category=D1 canonical=Georgia
virginia,Georgia Tech,georgia-tech,Georgia Tech,Yes,38,1947-1948,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (11),georgia-tech,Georgia Tech,Yes,1,1989-1990,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (12),georgia-tech,Georgia Tech,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (14),georgia-tech,Georgia Tech,Yes,1,1989-1990,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (15),georgia-tech,Georgia Tech,Yes,1,2003-2004,2003-2004,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (16),georgia-tech,Georgia Tech,Yes,1,1991-1992,1991-1992,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (17),georgia-tech,Georgia Tech,Yes,2,1984-1985,1993-1994,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (18),georgia-tech,Georgia Tech,Yes,1,1983-1984,1983-1984,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (20),georgia-tech,Georgia Tech,Yes,2,1987-1988,2009-2010,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (23),georgia-tech,Georgia Tech,Yes,2,1993-1994,1995-1996,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (5),georgia-tech,Georgia Tech,Yes,1,1985-1986,1985-1986,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (6),georgia-tech,Georgia Tech,Yes,2,1984-1985,1985-1986,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (8),georgia-tech,Georgia Tech,Yes,1,1989-1990,1989-1990,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Georgia Tech (9),georgia-tech,Georgia Tech,Yes,2,1984-1985,2004-2005,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Georgia Tech
virginia,Gettysburg,gettysburg,Gettysburg,No,4,1948-1949,1953-1954,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Gettysburg
virginia,Gonzaga,gonzaga,Gonzaga,Yes,1,2006-2007,2006-2007,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Gonzaga
virginia,Gonzaga (10),gonzaga,Gonzaga,Yes,1,2005-2006,2005-2006,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Gonzaga
virginia,Green Bay,green-bay,Green Bay,Yes,2,2011-2012,2012-2013,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Green Bay
virginia,Guilford,guilford,Guilford College,No,3,1910-1911,1921-1922,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Guilford
virginia,Hampden-Sydney,hampden-sydney,Hampden-Sydney,No,30,1909-1910,1975-1976,RESOLVED,HISTORICAL_NON_D1_SOURCE_IDENTITY_RETAINED,,Virginia media guide all-time series table category=NON_D1_COLLEGE canonical=Hampden-Sydney
virginia,Hampton,hampton,Hampton,Yes,7,1998-1999,2025-2026,RESOLVED,CURRENT_D1_REGISTRY_OR_HISTORICAL_ALIAS,,Virginia media guide all-time series table category=D1 canonical=Hampton
