index,source_program_key,source_opponent_label,canonical_opponent_key,canonical_opponent_name,current_d1,games_with_source_label,first_season,last_season,resolution_status,resolution_method,user_choice,audit_note
226,purdue,Queens,queens-university,Queens University,Yes,1,2025-2026,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
227,purdue,Radford,radford,Radford,Yes,1,2001-2002,2001-2002,RESOLVED,Current D1 registry / established institutional lineage,,
228,purdue,Rhode Island,rhode-island,Rhode Island,Yes,3,1980-1981,1996-1997,RESOLVED,Current D1 registry / established institutional lineage,,
229,purdue,Rice,rice,Rice,Yes,1,1939-1940,1939-1940,RESOLVED,Current D1 registry / established institutional lineage,,
230,purdue,Richmond,richmond,Richmond,Yes,1,2010-2011,2010-2011,RESOLVED,Current D1 registry / established institutional lineage,,
231,purdue,Rider,rider,Rider,Yes,1,2013-2014,2013-2014,RESOLVED,Current D1 registry / established institutional lineage,,
232,purdue,Robert Morris,robert-morris,Robert Morris,Yes,3,1982-1983,2018-2019,RESOLVED,Current D1 registry / established institutional lineage,,
233,purdue,Rochester,rochester,Rochester,No,1,1966-1967,1966-1967,RESOLVED,Established historical/non-current identity or institutional lineage,,
234,purdue,Rollins,rollins,Rollins,No,1,1982-1983,1982-1983,RESOLVED,Established historical/non-current identity or institutional lineage,,
235,purdue,Rose Poly,rose-hulman,Rose-Hulman,No,16,1902-1903,1924-1925,RESOLVED,Established historical/non-current identity or institutional lineage,,Historical Rose Polytechnic Institute lineage normalized to Rose-Hulman.
236,purdue,Rutgers,rutgers,Rutgers,Yes,25,1953-1954,2025-2026,RESOLVED,Current D1 registry / established institutional lineage,,
237,purdue,Saint Joseph’s,saint-joseph-s,Saint Joseph's,Yes,2,1971-1972,2009-2010,RESOLVED,Current D1 registry / established institutional lineage,,
238,purdue,Saint Louis,saint-louis,Saint Louis,Yes,5,1932-1933,1990-1991,RESOLVED,Current D1 registry / established institutional lineage,,
239,purdue,Saint Mary’s,saint-mary-s,Saint Mary's,Yes,1,2011-2012,2011-2012,RESOLVED,Current D1 registry / established institutional lineage,,
240,purdue,Saint Peter’s,saint-peter-s,Saint Peter's,Yes,2,2010-2011,2021-2022,RESOLVED,Current D1 registry / established institutional lineage,,
241,purdue,Samford,samford,Samford,Yes,3,2003-2004,2023-2024,RESOLVED,Current D1 registry / established institutional lineage,,
242,purdue,San Diego,san-diego,San Diego,Yes,1,2002-2003,2002-2003,RESOLVED,Current D1 registry / established institutional lineage,,
243,purdue,San Diego State,san-diego-state,San Diego State,Yes,3,1974-1975,1977-1978,RESOLVED,Current D1 registry / established institutional lineage,,
244,purdue,San Francisco,san-francisco,San Francisco,Yes,2,1993-1994,1997-1998,RESOLVED,Current D1 registry / established institutional lineage,,
245,purdue,San Francisco State,san-francisco-state,San Francisco State,No,1,1985-1986,1985-1986,RESOLVED,Established historical/non-current identity or institutional lineage,,
246,purdue,San Jose State,san-jose-state,San Jose State,Yes,2,1971-1972,1972-1973,RESOLVED,Current D1 registry / established institutional lineage,,
247,purdue,Santa Clara,santa-clara,Santa Clara,Yes,5,1978-1979,2012-2013,RESOLVED,Current D1 registry / established institutional lineage,,
248,purdue,SE Louisiana,se-louisiana,SE Louisiana,Yes,1,1979-1980,1979-1980,RESOLVED,Current D1 registry / established institutional lineage,,
